date,open,close,high,low,volume
2026-01-08,120.0,135.0,116.1,131.5,17518159
2026-01-09,137.2,165.0,137.2,158.6,6908145
2026-01-12,182.3,258.0,165.1,208.4,9421009
2026-01-13,220.4,225.2,176.0,181.8,4117444
2026-01-14,194.7,222.6,189.0,216.0,5821301
2026-01-15,212.0,243.0,206.0,241.0,3436595
2026-01-16,233.8,263.0,228.0,250.0,4242273
2026-01-19,245.0,250.0,220.2,224.0,2363775
2026-01-20,232.0,232.2,197.5,207.4,2642614
2026-01-21,208.0,217.0,200.0,204.0,1707360
2026-01-22,209.6,209.6,196.1,202.6,1208921
2026-01-23,205.0,192.0,205.0,190.7,0
2026-01-26,192.0,217.0,224.2,185.0,0
2026-01-27,223.0,233.4,244.6,214.0,0
2026-01-28,233.2,228.0,233.2,221.0,0
2026-01-29,230.6,227.0,252.0,224.0,0
2026-01-30,228.0,226.2,234.8,216.6,0
2026-02-02,226.2,224.6,246.6,219.0,0
2026-02-03,230.0,243.2,253.0,229.8,0
2026-02-04,235.0,227.2,237.0,222.2,0
2026-02-05,222.6,216.2,231.0,210.6,0
2026-02-06,207.0,203.2,208.6,198.0,0
2026-02-09,214.0,276.8,287.8,214.0,0
2026-02-10,278.0,317.8,344.0,277.4,0
2026-02-11,333.0,312.4,354.0,306.8,0
2026-02-12,339.8,402.0,443.0,318.8,0
2026-02-13,422.0,485.0,496.0,408.0,0
2026-02-16,522.0,508.0,540.0,460.0,0
2026-02-20,534.0,725.0,725.0,532.5,0
2026-02-23,625.0,560.0,672.5,540.0,0
2026-02-24,575.5,628.0,698.0,525.0,0
2026-02-25,591.0,560.5,666.0,555.5,0
2026-02-26,580.5,556.5,600.0,553.0,0
2026-02-27,540.0,575.0,592.0,482.0,0
2026-03-02,550.5,550.0,610.0,544.0,0
2026-03-03,568.0,528.0,625.0,526.5,0
2026-03-04,534.0,510.0,578.0,500.0,0
2026-03-05,526.0,520.0,551.5,497.0,0
2026-03-06,509.0,532.0,553.5,505.0,0
2026-03-09,513.0,575.0,583.0,481.2,0
2026-03-10,648.0,649.0,697.0,587.0,0
2026-03-11,629.0,609.5,708.0,600.0,0
2026-03-12,625.0,555.5,633.5,545.5,0
2026-03-13,551.5,530.0,582.0,519.0,0
2026-03-16,545.0,605.0,615.0,543.5,0
2026-03-17,609.0,621.5,639.5,593.5,0
2026-03-18,625.0,742.5,765.0,624.0,0
2026-03-19,710.0,659.0,738.0,646.0,0
2026-03-20,683.0,630.5,690.0,615.0,0
2026-03-23,600.0,590.0,633.5,571.0,0
2026-03-24,618.0,655.0,655.0,595.0,0
2026-03-25,685.0,760.0,760.0,663.0,0
2026-03-26,780.0,684.0,790.0,683.0,0
2026-03-27,684.0,668.0,696.0,641.5,0
2026-03-30,650.5,733.5,750.0,642.5,0
2026-03-31,720.0,693.5,755.0,672.0,0
2026-04-01,797.5,915.0,938.0,797.5,0
2026-04-02,891.5,779.0,900.0,764.0,0
2026-04-08,895.0,868.5,925.0,837.0,0
2026-04-09,897.5,929.5,999.0,862.0,0
2026-04-10,958.0,936.0,970.0,918.0,0
2026-04-13,945.0,957.5,1005.0,922.0,0
2026-04-14,980.0,948.0,1010.0,937.0,0
2026-04-15,976.0,867.0,982.0,825.0,0
2026-04-16,853.0,883.0,919.0,839.0,0
2026-04-17,880.0,891.0,911.0,860.0,0
2026-04-20,896.0,975.0,1030.0,895.0,0
2026-04-21,976.5,950.0,979.5,895.0,0
2026-04-22,937.5,986.0,1029.0,927.5,0
2026-04-23,1010.0,1028.0,1078.0,984.5,0
2026-04-24,1031.0,935.0,1076.0,896.0,0
2026-04-27,916.0,914.5,934.5,872.0,0
2026-04-28,920.0,800.0,920.0,788.0,0
2026-04-29,805.0,816.5,855.0,797.0,0
2026-04-30,840.0,868.0,891.0,798.0,0
2026-05-04,881.0,957.0,967.0,880.0,0
2026-05-05,955.5,919.5,963.0,915.0,0
2026-05-06,930.0,928.5,939.0,885.0,0
2026-05-07,942.0,975.0,975.0,910.5,0
2026-05-08,950.0,923.0,970.0,912.0,0
2026-05-11,933.0,899.0,960.0,885.0,0
2026-05-12,918.0,840.0,918.0,831.0,0
2026-05-13,831.0,1150.0,1168.0,831.0,0
2026-05-14,1135.0,1090.0,1229.0,1070.0,0
2026-05-15,1100.0,1040.0,1125.0,1030.0,0
2026-05-18,1049.0,1137.0,1160.0,1012.0,0
2026-05-19,1118.0,1030.0,1137.0,975.0,0
2026-05-20,1028.0,1058.0,1058.0,976.0,0
2026-05-21,1141.0,1010.0,1149.0,988.0,0
2026-05-22,1016.0,1282.0,1341.0,1016.0,0
2026-05-26,1308.0,1345.0,1459.0,1214.0,0
2026-05-27,1400.0,1425.0,1468.0,1367.0,0
2026-05-28,1440.0,1618.0,1657.0,1399.0,0
2026-05-29,1650.0,1595.0,1993.0,1500.0,0
2026-06-01,1511.0,1466.0,1612.0,1394.0,0
2026-06-02,1460.0,1412.0,1522.0,1363.0,0
2026-06-03,1427.0,1462.0,1567.0,1420.0,0
2026-06-04,1425.0,1426.0,1458.0,1380.0,0
2026-06-05,1426.0,1297.0,1440.0,1260.0,0
2026-06-08,1250.0,1314.0,1479.0,1156.0,0
2026-06-09,1250.0,1136.0,1300.0,1136.0,0
2026-06-10,1136.0,1048.0,1152.0,1011.0,0
2026-06-11,1032.0,1061.0,1130.0,1021.0,0
2026-06-12,1138.0,1097.0,1200.0,1031.0,0
2026-06-15,1261.0,1457.0,1620.0,1261.0,0
2026-06-16,1467.0,1474.0,1650.0,1450.0,0
2026-06-17,1474.0,1660.0,1739.0,1375.0,0
2026-06-18,1721.0,2094.0,2094.0,1721.0,0
2026-06-22,2100.0,2410.0,2980.0,2100.0,0
2026-06-23,2420.0,2170.0,2422.0,1980.0,0
2026-06-24,2186.0,2174.0,2520.0,2040.0,0
2026-06-25,2326.0,2350.0,2418.0,2180.0,0
2026-06-26,2334.0,2168.0,2360.0,2152.0,0
